Start_date	Discharge	SO4_Conc	CO3_Conc	HCO3_Conc	Ca_Conc	Mg_Conc	Na_Conc	K_Conc	Cl_Conc	SO4_Load	CO3_Load	HCO3_Load	Ca_Load	Mg_Load	Na_Load	K_Load	Cl_Load
1/15/1992	255	220	5	204	110	17	38	3.3	26	137252.6623	3119.378688	127270.6505	68626.33114	10605.88754	23707.27803	2058.789934	16220.76918
3/18/1992	501	140	0	178	76	14	24	1.8	15	171602.5264	0	218180.355	93155.6572	17160.25264	29417.57596	2206.318197	18385.98497
5/5/1992	1800	55	0	103	41	5.7	7.3	1.1	3.3	242210.5805	0	453594.3598	180556.9782	25101.8238	32147.94977	4844.21161	14532.63483
8/3/1992	437	130	13	137	78	12	28	2.5	18	138989.7281	13898.97281	146473.7903	83393.83683	12829.82105	29936.24912	2672.879386	19244.73158
11/19/1992	311	180	10	170	91	14	35	3	21	136959.0737	7608.837427	129350.2363	69240.42059	10652.3724	26630.931	2282.651228	15978.5586
3/9/1993	760	130	0	166	54	9.5	38	2.7	12	241721.2662	0	308659.463	100407.2952	17664.24637	70656.9855	5020.364759	22312.73226
5/5/1993	2260	61	0	127	48	7.5	9.2	1.4	5.6	337284.3497	0	702214.9577	265404.0785	41469.38726	50869.11504	7740.952289	30963.80916
9/1/1993	1810	75	0	124	49	7.8	15	2.5	7.7	332122.0838	0	549108.5119	216986.4281	34540.69672	66424.41677	11070.73613	34097.86727
11/18/1994	462	160	0	198	90	14	30	3	19	180850.5668	0	223802.5764	101728.4438	15824.42459	33909.48127	3390.948127	21476.0048
2/27/1995	667	110	0	144	66	11	19	2	11	179504.9524	0	234988.3014	107702.9715	17950.49524	31005.40087	3263.726408	17950.49524
5/4/1995	1030	72	0	144	54	9	12	1.5	6.4	181437.7439	0	362875.4878	136078.3079	22679.71799	30239.62399	3779.952998	16127.79946
