group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,459.141,22.9904,1,0,4.50176,0.140121,1
aquf,19.0275,23.8499,5,0,0.471559,0.338251,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,12.3014,32.6073,0,0,0.350294,0.256452,0
salt_ca0,20.4434,26.6685,0,0,0.475279,0.410117,0
salt_cl0,16.1444,28.0478,0,0,0.434372,0.371392,0
salt_co30,50.1552,21.7863,24,0,1.60205,2.42707,0
salt_hco30,21.1926,33.3633,0,0,0.388204,0.308908,1
salt_k0,121.972,22.4644,28,0,3.33032,6.13596,6
salt_mg0,31.8426,23.1729,31,0,0.791256,0.908187,0
salt_na0,18.8082,28.1742,0,0,0.431006,0.386037,0
salt_so40,17.4358,29.9701,0,0,0.402142,0.34064,0
