Date	SO4_load	Na_load	K_load	Mg_load	Cl_load	Ca_load	HCO3_load
3/1/1992	2128	30.36	12.25	20.27	31.83	360	184
4/1/1992	2997	52	20.3	27	44.57	471	787
5/1/1992	4650	108	51	51	71	804	5066
6/1/1992	4547	108	54	52	55.08	852	7232
7/1/1992	2949	54	22.03	31	25.8	546	2134
9/1/1992	2058	32.19	12.4	21	13.89	393	635
10/1/1992	1750	25.32	9.76	18	12.29	325	291
4/1/1993	1818	26.48	10.74	20	31.88	354	182
5/1/1993	3920	99	54	58	71	913	6908
6/1/1993	5425	151	97	115	98	1408	15772
7/1/1993	2858	59	25.75	37	35.18	605	3587
10/1/1993	1452	21.75	8.35	17	13.13	318	278
11/1/1993	1450	21.77	8.36	17	15.68	324	237
5/1/1994	2355	49	21.4	32	47.13	503	1951
6/1/1994	3612	96	56	72	80	1050	8593
7/1/1994	1853	34	13.5	26	22.53	471	1286
10/1/1994	1741	31	12.32	27	25.33	430	1011
11/1/1994	1311	20.82	8.06	18	18.53	344	295
1/1/1995	1232	18.49	7.32	17	29.8	328	133
4/1/1995	1449	25	9.68	21	37.51	379	351
6/1/1995	4478	130	86	127	102	1400	15290
7/1/1995	4486	129	85	129	93	1453	16366
8/1/1995	2043	46	21.6	41	41.06	638	4134
9/1/1995	1515	28	11.59	27	24.46	432	1348
10/1/1995	1079	17.59	6.87	17	15.38	323	346
11/1/1995	988	14.93	5.87	16	17.98	295	143
1/1/1996	1060	15.79	6.34	16	28.59	304	109
4/1/1996	1394	26	9.95	24	44.87	386	445
5/1/1996	2576	71	42	68	88	1005	6219
8/1/1996	1210	19.18	7.31	21	13.82	364	368
9/1/1996	1044	18	7.13	19	16.51	345	576
10/1/1996	1600	31	12.51	33	35.88	465	1190
11/1/1996	971	15.68	6.13	17	19.53	320	199
1/1/1997	978	14.73	5.91	16	29.41	293	100
2/1/1997	1048	15.94	6.5	17	35.16	299	108
3/1/1997	1100	19	7.46	20	41.19	350	244
4/1/1997	1291	25	9.8	25	42.98	384	584
5/1/1997	1595	40	21	40	60	618	2794
6/1/1997	2295	63	38	66	71	899	6411
7/1/1997	1767	45	26	48	49.75	742	5039
8/1/1997	1473	32	14.89	35	37.45	523	2699
9/1/1997	1915	41	17.87	45	50.63	610	2476
10/1/1997	1582	30	11.95	33	39.15	460	909
11/1/1997	1097	18	7.04	21	25.71	352	227
12/1/1997	981	15.73	6.01	17	26.72	325	131
2/1/1998	1016	15.39	6.18	17	34.2	286	90
3/1/1998	1080	16.62	6.74	18	35.91	298	109
4/1/1998	1142	22	8.31	23	40.83	363	410
5/1/1998	1487	38	20	39	58	601	2581
6/1/1998	1467	38	20	39	51	611	3166
7/1/1998	1236	28	12.92	30	34.32	468	2135
8/1/1998	964	17.03	6.34	19	15.32	344	484
9/1/1998	816	13.54	5.02	15	12.36	278	239
10/1/1998	825	13.94	5.26	16	13.78	284	259
11/1/1998	982	16.56	6.24	18	20.8	317	202
2/1/1999	1053	16	6.37	17	35.43	280	83.44
4/1/1999	1008	18	6.82	19	34.95	336	239
6/1/1999	1439	37	18	36	51	547	2220
8/1/1999	1435	32	14.07	34	38.22	483	2174
10/1/1999	903	16	5.86	17	16.13	289	265
11/1/1999	888	13.96	5.13	15	18.34	264	94
4/1/2000	1263	25	9.42	25	47.72	358	423
5/1/2000	2481	71	39	66	84	909	4357
6/1/2000	1173	24	9.28	25	28.21	395	829
7/1/2000	1120	20	7.47	22	19.13	382	448
8/1/2000	1111	18.38	6.75	21	14.54	336	265
9/1/2000	900	15.66	5.63	16	13.39	289	280
11/1/2000	969	16.44	5.92	16	18	289	158
12/1/2000	930	14.79	5.32	15	19	266	90
3/1/2001	1222	18.7	7.43	20	37.66	287	82.13
4/1/2001	1680	38	14.75	37	66	427	859
5/1/2001	2017	55	27	48	65	715	2646
6/1/2001	1611	42	20	36	47	550	2178
8/1/2001	1130	22	8.44	23	22.49	359	754
9/1/2001	965	16.37	5.8	17	12.84	291	227
