obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
d009_cca_19961119,5.240000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970108,5.610000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970130,6.920000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970225,6.010000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970325,4.480000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970429,4.190000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970514,2.490000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970521,2.160000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970529,2.710000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970605,1.690000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970611,2.180000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970616,2.080000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970626,1.860000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970701,1.920000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970715,2.070000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970730,2.300000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970812,2.780000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19970925,2.910000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19971022,3.560000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19971125,4.960000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19971223,5.580000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980212,6.030000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980316,5.720000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980423,5.650000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980506,3.620000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980529,2.090000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980602,1.830000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980609,2.430000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980624,1.890000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980709,2.150000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980722,2.850000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19980930,4.900000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19990217,6.230000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19990429,5.240000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_19990819,3.110000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000329,6.630000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000424,4.290000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000516,2.710000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000531,1.780000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000612,2.290000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000628,3.070000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000718,3.930000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000822,4.520000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20000915,4.530000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20001205,5.910000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20010108,6.650000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20010312,6.680000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20010430,3.440000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20010530,1.920000E+01,0.000000E+00,d009_cca,,,,,,,
d009_cca_20010821,4.100000E+01,0.000000E+00,d009_cca,,,,,,,
d009_ck_19971223,7.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980212,7.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980316,7.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980423,7.500000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980506,5.700000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980529,4.300000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980602,4.500000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980609,4.300000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980624,3.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980709,3.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980722,5.000000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19980930,6.300000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19990217,7.000000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19990429,6.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_19990819,4.700000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000329,8.800000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000424,6.200000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000516,5.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000531,5.600000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000612,5.400000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000628,6.000000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000718,6.700000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000822,7.100000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20000915,6.400000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20001205,6.100000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20010108,6.800000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20010312,6.800000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20010430,5.200000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20010530,3.900000E-01,0.000000E+00,d009_ck,,,,,,,
d009_ck_20010821,5.400000E-01,0.000000E+00,d009_ck,,,,,,,
d009_cmg_19961119,2.850000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970108,3.020000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970130,3.520000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970225,3.200000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970325,2.740000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970429,2.560000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970514,1.630000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970521,1.430000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970529,1.710000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970605,1.150000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970611,1.450000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970616,1.400000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970626,1.250000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970701,1.290000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970715,1.370000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970730,1.580000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970812,1.910000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19970925,1.970000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19971022,2.120000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19971125,2.700000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19971223,3.140000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980212,3.280000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980316,3.180000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980423,3.300000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980506,2.120000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980529,1.280000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980602,1.130000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980609,1.470000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980624,1.200000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980709,1.360000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980722,1.770000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19980930,2.760000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19990217,3.340000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19990429,3.140000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_19990819,2.050000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000329,3.810000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000424,2.650000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000516,1.780000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000531,1.240000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000612,1.570000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000628,2.010000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000718,2.400000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000822,3.070000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20000915,2.730000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20001205,3.290000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20010108,3.600000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20010312,3.620000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20010430,2.160000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20010530,1.350000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cmg_20010821,2.600000E+00,0.000000E+00,d009_cmg,,,,,,,
d009_cna_19961119,2.260000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970108,2.370000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970130,2.860000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970225,2.470000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970325,1.930000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970429,1.750000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970514,1.240000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970521,1.120000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970529,1.440000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970605,9.300000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970611,1.060000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970616,1.050000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970626,8.600000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970701,9.000000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970715,9.700000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970730,1.070000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970812,1.310000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19970925,1.330000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19971022,1.400000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19971125,1.950000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19971223,2.370000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980212,2.560000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980316,2.240000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980423,2.700000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980506,1.730000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980529,1.060000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980602,8.600000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980609,1.140000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980624,8.700000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980709,1.030000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980722,1.270000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19980930,2.220000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19990217,2.710000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19990429,2.410000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_19990819,1.420000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000329,2.670000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000424,1.750000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000516,1.200000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000531,7.600000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000612,9.600000E-01,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000628,1.250000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000718,1.600000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000822,1.900000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20000915,1.780000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20001205,2.530000E+00,0.000000E+00,d009_cna,,,,,,,
d009_cna_20010108,2.810000E+00,0.000000E+00,d009_cna,,,,,,,
