group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,96.4718,36.9561,0,0,4.50176,0.335363,1
aquf,30.1881,37.4391,24,3,0.471559,0.241635,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,6.12221,49.7132,0,0,0.350294,0.168328,1
salt_ca0,21.559,40.9385,0,0,0.475279,0.339195,0
salt_cl0,16.1043,42.2133,0,0,0.434372,0.295269,0
salt_co30,55.4413,35.7444,16,0,1.60205,2.65757,0
salt_hco30,17.5966,42.7406,0,0,0.388204,0.240421,1
salt_k0,140.331,41.8323,10,0,3.33032,12.5139,12
salt_mg0,31.1608,41.2952,33,0,0.791256,0.660527,1
salt_na0,21.2903,44.9806,0,0,0.431006,0.305067,1
salt_so40,14.8111,43.6786,0,0,0.402142,0.248558,2
