name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M009_LCA_199204,229.756,25.875,145.651,299.675,255.631,203.881,644.492,165.833,471.378,1480.89,810.325,478.659,171.702
M009_LCA_199205,481.446,24.2937,415.645,547.362,505.74,457.152,1761.08,1122.58,706.248,6610.54,2883.66,638.496,158.885
M009_LCA_199305,715.542,24.7302,636.2,792.18,740.273,690.812,2705.49,1267.26,1563.31,7893.03,3972.74,1438.23,771.128
M009_LCA_199506,1672.62,24.1654,1597.87,1748.43,1696.78,1648.45,7502,5859.33,2283.11,32966.8,13361.3,1642.67,534.68
M009_LCA_199605,877.314,24.6287,814.104,949.843,901.942,852.685,6416.16,6761.16,1106.73,37615.4,13177.3,-345.007,156.892
M009_LCA_199705,511.318,27.2018,440.414,597.844,538.519,484.116,9843.2,10516.3,1400.21,64369.2,20359.5,-673.117,802.369
M009_LCA_199706,805.615,26.2785,724.002,878.646,831.894,779.337,11235.6,12653.6,1138.98,78003,23889.3,-1417.98,260.334
M009_LCA_199805,394.954,26.8284,319.763,493.523,421.783,368.126,7296.46,7626.68,1246.15,49445.3,14923.1,-330.224,752.626
M009_LCA_199906,413.654,24.798,330.154,484.824,438.452,388.856,17879.7,21187.7,1515.65,142176,39067.4,-3308.04,1030.83
M009_LCA_200005,547.086,24.6796,467.766,611.746,571.766,522.407,13747.2,16569.4,1624.78,116423,30316.6,-2822.21,1013.03
M009_LCA_200008,237.206,26.1473,161.835,307.381,263.353,211.059,4629.11,5885.05,348.636,43444.3,10514.2,-1255.93,41.2542
M009_LCA_200009,226.745,25.1725,159.75,304.838,251.917,201.572,4664.8,5957.78,333.432,44157.7,10622.6,-1292.98,28.594
M009_LCA_200012,156.332,25.8774,64.0096,250.765,182.21,130.455,4553.19,5943.22,271.761,45104,10496.4,-1390.03,20.9955
M009_LCA_200101,154.017,24.5507,65.5781,220.441,178.568,129.467,4547.06,5947.68,281.051,44880.3,10494.7,-1400.62,60.6099
