Date	Discharge	SO4_conc	Ca_conc	Mg_conc	Na_conc	K_conc	SO4_Load	Ca_Load	Mg_Load	Na_Load	K_Load
11/19/1996	43	116	52.4	2.85	2.26	-999	12203.49874	5512.614949	299.8273398	237.7578203	-999
1/8/1997	47	83	56.1	3.02	2.37	-999	9544.0755	6450.875127	347.2663615	272.5236016	-999
1/30/1997	8.5	155	69.2	3.52	2.86	-999	3223.357978	1439.073368	73.20141988	59.47615365	-999
2/25/1997	18	141	60.1	3.2	2.47	-999	6209.398518	2646.70107	140.9225196	108.7745698	-999
3/25/1997	45	116	44.8	2.74	1.93	-999	12771.10333	4932.288184	301.6622684	212.4847365	-999
4/29/1997	96	92	41.9	2.56	1.75	-999	21608.11966	9841.089282	601.2694168	411.0240154	-999
5/14/1997	433	46	24.9	1.63	1.24	-999	48730.81154	26378.20016	1726.765713	1313.613181	-999
5/21/1997	514	40	21.6	1.43	1.12	-999	50301.51045	27162.81564	1798.278999	1408.442293	-999
5/29/1997	238	52	27.1	1.71	1.44	-999	30278.76913	15779.89699	995.7056772	838.4889913	-999
6/5/1997	883	28	16.9	1.15	0.93	-999	60489.03426	36509.45282	2484.37105	2009.100067	-999
6/11/1997	451	36	21.8	1.45	1.06	-999	39722.5352	24054.20187	1599.935446	1169.607981	-999
6/16/1997	580	32	20.8	1.4	1.05	-999	45408.36741	29515.43882	1986.616074	1489.962056	-999
6/26/1997	606	33	18.6	1.25	0.86	-999	48926.53726	27576.77554	1853.277926	1275.055213	-999
7/1/1997	585	31	19.2	1.29	0.9	-999	44368.57452	27479.89131	1846.305198	1288.119905	-999
7/15/1997	355	34	20.7	1.37	0.97	-999	29530.11825	17978.63081	1189.890059	842.4769029	-999
7/30/1997	324	40	23	1.58	1.07	-999	31707.5669	18231.85097	1252.448893	848.1774146	-999
8/12/1997	232	51	27.8	1.91	1.31	-999	28947.83422	15779.40768	1084.124772	743.5620164	-999
9/25/1997	202	56	29.1	1.97	1.33	-999	27675.61703	14381.43671	973.5886707	657.2959046	-999
10/22/1997	115	75	35.6	2.12	1.4	-999	21101.67936	10016.2638	596.4741366	393.8980147	-999
11/25/1997	44	110	49.6	2.7	1.95	-999	11841.40616	5339.397685	290.6526966	209.9158364	-999
12/23/1997	-999	130	55.8	3.14	2.37	0.76	-999	-999	-999	-999	-999
2/12/1998	-999	150	60.3	3.28	2.56	0.76	-999	-999	-999	-999	-999
3/16/1998	25	286	57.2	3.18	2.24	0.76	17492.98637	3498.597274	194.5024358	137.0080051	46.48485888
4/23/1998	52	135	56.5	3.3	2.7	0.75	17174.93207	7188.027126	419.8316728	343.4986414	95.41628928
5/6/1998	168	75	36.2	2.12	1.73	0.57	30826.80115	14879.06936	871.3709126	711.0715466	234.2836888
5/29/1998	449	36	20.9	1.28	1.06	0.43	39546.38205	22958.8718	1406.093584	1164.421249	472.3595634
6/2/1998	621	31	18.3	1.13	0.86	0.45	47098.94833	27803.57272	1716.832633	1306.615986	683.6944113
6/9/1998	193	43	24.3	1.47	1.14	0.43	20304.09704	11474.17577	694.1168059	538.2946658	203.0409704
6/24/1998	485	32	18.9	1.2	0.87	0.36	37970.78999	22426.49784	1423.904625	1032.330853	427.1713874
7/9/1998	325	37	21.5	1.36	1.03	0.36	29420.02253	17095.4185	1081.384612	818.9898163	286.2488678
7/22/1998	141	59	28.5	1.77	1.27	0.5	20353.02847	9831.547653	610.5908542	438.1075621	172.4832922
9/30/1998	34	108	49	2.76	2.22	0.63	8983.810621	4075.988152	229.5862714	184.6672183	52.40556196
2/17/1999	27	109	62.3	3.34	2.71	0.7	7200.259983	4115.377954	220.6318197	179.0156381	46.24020173
4/29/1999	61	107	52.4	3.14	2.41	0.66	15968.77231	7820.221207	468.6163089	359.6704792	98.4989694
8/19/1999	205	69	31.1	2.05	1.42	0.47	34606.75415	15598.11673	1028.171681	712.1969695	235.727166
3/29/2000	26	141	66.3	3.81	2.67	0.88	8969.131192	4217.399986	242.3573748	169.8409949	55.97755638
4/24/2000	110	103	42.9	2.65	1.75	0.62	27719.65532	11545.371	713.1755981	470.9650176	166.8561777
5/16/2000	199	60	27.1	1.78	1.2	0.56	29212.06395	13194.11555	866.6245638	584.241279	272.6459302
5/31/2000	525	27	17.8	1.24	0.76	0.56	34680.1513	22863.21085	1592.71806	976.1820365	719.2920269
6/12/2000	250	38	22.9	1.57	0.96	0.54	23242.42944	14006.62195	960.2793216	587.1771648	330.2871552
6/28/2000	144	54	30.7	2.01	1.25	0.6	19024.54014	10815.80338	708.1356607	440.3828736	211.3837793
7/18/2000	81	74	39.3	2.4	1.6	0.67	14664.74969	7788.17112	475.6135035	317.075669	132.7754364
8/22/2000	99	-999	45.2	3.07	1.9	0.71	-999	10947.91824	743.5864821	460.2001029	171.9695121
9/15/2000	73	95	45.3	2.73	1.78	0.64	16966.97349	8090.567359	487.5772382	317.9075033	114.3038214
12/5/2000	33	130	59.1	3.29	2.53	0.61	10495.79182	4771.548435	265.6242699	204.2642562	49.2494847
1/8/2001	30	151	66.5	3.6	2.81	0.68	11082.96899	4880.910182	264.2297242	206.2459791	49.91005901
3/12/2001	18	160	66.8	3.62	2.81	0.68	7046.125978	2941.757596	159.4186002	123.7475875	29.9460354
4/30/2001	186	74	34.4	2.16	1.53	0.52	33674.6104	15654.14321	982.9345739	696.2453232	236.6323974
5/30/2001	491	35	19.2	1.35	0.91	0.39	42044.33157	23064.31903	1621.709932	1093.152621	468.4939804
8/21/2001	93	87	41	2.6	1.75	0.54	19795.21017	9328.777206	591.5809935	398.1795149	122.8668217
