Date	Ca	Mg	K	Na	SO4
1/1/1992	104	5.73	2.35	5.64	464
3/1/1992	114	5.73	-999	6.2	535
4/1/1992	232	10.14	-999	13.09	1003
5/1/1992	480	25	-999	29	1712
6/1/1992	457	33	-999	28	1523
7/1/1992	304	14.07	-999	17.05	1220
9/1/1992	196	8.17	-999	10.59	803
10/1/1992	146	5.83	-999	7.73	609
12/1/1992	120	5.7	-999	6.38	505
3/1/1993	106	5.72	-999	5.81	488
4/1/1993	137	5.95	-999	7.57	629
5/1/1993	711	49	-999	47	2218
6/1/1993	1236	92	-999	81	3686
7/1/1993	342	19	-999	19.92	1273
10/1/1993	163	6.76	-999	8.76	666
10/1/1994	251	10.6	16.25	13.73	969
12/1/1994	212	6.76	10.11	11.51	869
1/1/1995	165	6.02	8.59	8.96	714
4/1/1995	180	7.87	14.46	10.06	801
6/1/1995	1672	124	142.78	112	4756
7/1/1995	1357	97	123.44	89	3910
9/1/1995	280	13.91	23.35	15.56	1081
10/1/1995	188	7.87	12.04	10.13	753
11/1/1995	132	5.78	6.9	7.08	552
4/1/1996	171	7.39	12.59	9.53	757
5/1/1996	875	55	86.5	56	2856
8/1/1996	219	6.57	9.23	11.78	936
10/1/1996	351	14.15	19.44	19.53	1291
11/1/1996	193	7.13	8.75	10.39	771
1/1/1997	137	5	5.42	7.5	577
2/1/1997	100	5.73	3.84	5.42	461
3/1/1997	170	7.18	8.38	9.44	759
4/1/1997	198	8.72	10.9	11.19	854
5/1/1997	511	30	40.56	32	1752
6/1/1997	806	60	56.61	52	2502
7/1/1997	496	33	37.65	31	1620
8/1/1997	375	20	23.06	21.88	1342
9/1/1997	500	19	22.03	28.74	1711
10/1/1997	420	14.46	15.13	23.45	1526
11/1/1997	207	7.08	6.25	11.2	832
3/1/1998	110	5.73	2.76	6.02	507
4/1/1998	158	6.81	4.06	8.79	713
5/1/1998	396	23	15.39	24	1420
6/1/1998	549	40	25.8	35	1767
7/1/1998	330	19	11.15	19.37	1216
8/1/1998	225	8.83	5.02	12.18	927
9/1/1998	164	6.15	3.6	8.73	685
10/1/1998	182	7.64	4.59	9.77	738
11/1/1998	200	7.29	5.69	10.77	796
2/1/1999	120	5.78	2.96	6.56	542
4/1/1999	175	7.55	4.61	9.75	779
6/1/1999	414	28	22.17	25	1433
8/1/1999	356	19	13.76	20.6	1297
10/1/1999	235	10.37	7.44	12.81	917
11/1/1999	144	5.91	3.92	7.7	595
3/1/2000	112	5.7	3.26	6.11	519
4/1/2000	264	11.5	7.85	15.01	1112
5/1/2000	547	36	31.47	35	1812
6/1/2000	311	18	11.28	18.2	1185
7/1/2000	273	10.1	7.12	15.02	1142
8/1/2000	236	9.1	5.52	12.92	975
9/1/2000	229	10.48	5.41	12.51	917
11/1/2000	206	7.64	5.34	11.11	816
12/1/2000	160	6.08	3.74	8.6	660
1/1/2001	154	5.91	3.46	8.37	664
3/1/2001	104	5.73	2.95	5.7	489
4/1/2001	429	18	16.37	25.35	1665
5/1/2001	592	41	35.08	37	1965
7/1/2001	306	14.23	11.81	17.22	1230
8/1/2001	270	12.58	9.97	14.94	1080
9/1/2001	202	7.29	6.08	10.85	842
11/1/2001	134	5.78	3.98	7.11	556
4/1/2002	257	10.6	14.39	14.55	1107
5/1/2002	307	16.13	25.83	17.75	1224
6/1/2002	241	7.08	11.43	13.13	1059
7/1/2002	211	5.78	8.13	11.31	933
9/1/2002	182	7.29	10.39	9.78	751
12/1/2002	142	5.86	7.35	7.61	591
4/1/2003	129	5.73	8.85	7.09	603
7/1/2003	295	12.58	26.88	16.5	1214
8/1/2003	290	14.07	29.24	16.18	1145
10/1/2003	148	6.15	10.39	7.9	611
3/1/2004	111	5.76	9.92	6.06	509
4/1/2004	222	9.55	22.3	12.48	965
5/1/2004	544	26	84.02	33	1937
