obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
d009_cca_19961119,5.2400000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970108,5.6100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970130,6.9200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970225,6.0100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970325,4.4800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970429,4.1900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970514,2.4900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970521,2.1600000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970529,2.7100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970605,1.6900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970611,2.1800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970616,2.0800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970626,1.8600000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970701,1.9200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970715,2.0700000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970730,2.3000000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970812,2.7800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19970925,2.9100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19971022,3.5600000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19971125,4.9600000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19971223,5.5800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980212,6.0300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980316,5.7200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980423,5.6500000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980506,3.6200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980529,2.0900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980602,1.8300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980609,2.4300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980624,1.8900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980709,2.1500000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980722,2.8500000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19980930,4.9000000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19990217,6.2300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19990429,5.2400000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_19990819,3.1100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000329,6.6300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000424,4.2900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000516,2.7100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000531,1.7800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000612,2.2900000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000628,3.0700000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000718,3.9300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000822,4.5200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20000915,4.5300000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20001205,5.9100000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20010108,6.6500000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20010312,6.6800000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20010430,3.4400000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20010530,1.9200000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_cca_20010821,4.1000000E+01,0.0000000E+00,d009_cca,,,,,,,
d009_ck_19971223,7.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980212,7.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980316,7.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980423,7.5000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980506,5.7000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980529,4.3000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980602,4.5000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980609,4.3000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980624,3.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980709,3.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980722,5.0000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19980930,6.3000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19990217,7.0000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19990429,6.6000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_19990819,4.7000000E-01,0.0000000E+00,d009_ck,,,,,,,
d009_ck_20000329,8.8000000E-01,0.0000000E+00,d009_ck,,,,,,,
