obsnme,obsval,weight,obgnme,oname,otype,usecol,time,i,j,totim
d009_cca_19961119,5.24000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970108,5.61000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970130,6.92000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970225,6.01000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970325,4.48000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970429,4.19000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970514,2.49000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970521,2.16000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970529,2.71000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970605,1.69000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970611,2.18000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970616,2.08000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970626,1.86000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970701,1.92000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970715,2.07000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970730,2.30000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970812,2.78000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19970925,2.91000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19971022,3.56000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19971125,4.96000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19971223,5.58000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980212,6.03000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980316,5.72000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980423,5.65000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980506,3.62000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980529,2.09000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980602,1.83000000E+01,0.000E+00,d009_cca,,,,,,,
d009_cca_19980609,2.43000000E+01,0.000E+00,d009_cca,,,,,,,
