parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
aquf_caco3,log,factor,1.0000000000E-05,1.1000000000E-10,5.0000000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_caso4,log,factor,1.0000000000E-05,1.1000000000E-10,5.0000000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_mgso4,log,factor,1.0000000000E-05,1.1000000000E-10,5.0000000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_h,log,factor,2.3700000000E+01,1.9200000000E+01,2.8300000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_l,log,factor,1.2600000000E+01,1.1300000000E+01,1.4000000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_m,log,factor,1.5800000000E+01,1.5100000000E+01,1.6600000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_mh,log,factor,1.7900000000E+01,1.6600000000E+01,1.9200000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_ml,log,factor,1.4600000000E+01,1.4000000000E+01,1.5100000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_h,log,factor,5.8200000000E+00,3.1100000000E+00,8.5300000000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_l,log,factor,1.8700000000E-01,9.4000000000E-02,2.7900000000E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_m,log,factor,9.9900000000E-01,6.7800000000E-01,1.3200000000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_mh,log,factor,2.2100000000E+00,1.3200000000E+00,3.1100000000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_ml,log,factor,4.7900000000E-01,2.7900000000E-01,6.7800000000E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p12,fixed,factor,1.6100000000E+00,1.5000000000E+00,2.5000000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p15,fixed,factor,2.0000000000E-05,1.0000000000E-05,3.0000000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p16,fixed,factor,1.4500000000E+00,1.0000000000E+00,1.5000000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p17,fixed,factor,5.0000000000E-01,1.0000000000E-05,5.0000000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
