group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,291.241,51.923,1,0,21.6716,5.14822,5
aquf,63.2067,71.5306,3,0,0.476287,0.313364,1
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,32.5212,62.7246,0,0,0.347265,0.207089,2
salt_ca0,143.754,49.3754,0,0,2.59454,4.04649,18
salt_cl0,191.692,52.3437,0,0,2.51655,1.71707,21
salt_co30,866.145,49.0397,0,0,8.83512,1.46804,19
salt_hco30,117.694,56.8263,0,0,1.60015,0.759708,20
salt_k0,184.752,53.4399,0,0,2.46606,2.41891,17
salt_mg0,1473.38,50.3783,0,0,36.5869,5.93313,33
salt_na0,240.928,48.7269,0,0,4.52974,7.18314,18
salt_so40,132.377,52.6358,0,0,1.65233,15.1185,21
