name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M009_LCA_199204,227.723,32.2707,149.939,304.239,259.994,195.452,514.648,11.0833,489.174,539.62,525.731,503.565,184.935
M009_LCA_199205,475.227,31.1329,395.696,578.98,506.36,444.095,859.264,69.0984,713.02,1044.15,928.363,790.166,134.04
M009_LCA_199305,712.172,29.8372,638.078,799.165,742.009,682.335,1715.83,67.4605,1550.46,1884.24,1783.29,1648.37,751.292
M009_LCA_199306,1238.54,30.5054,1153.68,1323.18,1269.04,1208.03,567.881,72.3389,385.093,733.719,640.22,495.542,419.961
M009_LCA_199307,340.917,27.2579,286.284,410.415,368.175,313.659,53.5972,17.8092,4.56519,101.798,71.4065,35.788,184.486
M009_LCA_199506,1672,30.0291,1586.36,1754.62,1702.03,1641.97,2967.04,269.421,2270.7,3674.27,3236.46,2697.62,516.077
M009_LCA_199507,1363.19,29.8076,1285.73,1450.43,1393,1333.38,266.713,86.2749,65.9421,444.649,352.988,180.438,841.077
M009_LCA_199605,875.868,32.0234,765.405,955.208,907.891,843.845,1778.24,402.953,1096.27,3548.77,2181.2,1375.29,141.063
M009_LCA_199705,509.854,32.3883,419.593,590.83,542.242,477.466,2451.07,537.028,1347.13,4415.43,2988.09,1914.04,756.301
M009_LCA_199706,807.564,29.4491,712.469,896.38,837.013,778.115,2445.55,675.327,1138.12,5038.35,3120.87,1770.22,241.737
M009_LCA_199805,395.499,24.3336,310.808,468.407,419.832,371.165,1998.08,371.311,1215.39,3245.88,2369.39,1626.77,746.987
M009_LCA_199906,414.059,26.9147,340.897,476.995,440.974,387.145,3592.09,1033.58,1478.29,7151.94,4625.67,2558.52,1001.29
M009_LCA_200005,547.131,27.6781,472.76,625.846,574.809,519.453,3119.39,756.934,1608.51,5486.29,3876.32,2362.45,982.661
M009_LCA_200008,240.51,28.7511,137.088,306.524,269.262,211.759,881.808,269.057,326.638,1739.83,1150.87,612.751,20.1135
M009_LCA_200009,226.062,25.5022,150.559,285.238,251.564,200.56,874.226,273.403,308.537,1751.77,1147.63,600.823,23.2998
M009_LCA_200012,159.818,29.4088,56.6407,249.646,189.227,130.409,809.891,268.309,251.157,1660.1,1078.2,541.582,1.51046
M009_LCA_200101,156.187,29.8432,72.1606,220.825,186.03,126.344,809.134,267.858,248.985,1657.3,1076.99,541.275,28.1592
M009_LCA_200103,103.529,28.1874,45.4332,183.755,131.717,75.342,807.339,266.098,249.373,1650.39,1073.44,541.241,65.6176
M009_LCA_200105,593.869,31.5111,503.953,720.676,625.381,562.358,4241.61,822.461,2669.51,6741.58,5064.07,3419.15,1948.84
M009_LCA_200107,307.412,30.2683,231.46,380,337.68,277.143,1270.62,383.237,427.339,2331.42,1653.86,887.386,47.3392
M009_LCA_200108,273.331,31.6413,190.12,355.723,304.972,241.69,1229.24,374.666,471.064,2250.05,1603.91,854.574,115.341
M009_LCA_200109,203.606,29.2318,120.972,275.695,232.838,174.375,1122.43,367.993,296.19,2049.76,1490.43,754.441,20.4951
M009_LCA_200111,131.295,32.3182,37.2244,206.193,163.613,98.9764,1028.89,355.176,257.197,1931.78,1384.07,673.716,51.0049
M009_LCA_200205,309.426,30.8303,240.335,383.756,340.256,278.596,2109.24,542.619,915.368,3719.56,2651.86,1566.62,531.612
