iteration,total_runs,obs_realization,par_realization,d009_cca,d009_ck,d009_cmg,d009_cna,d009_cso4,d009_lca,d009_lk,d009_lmg,d009_lna,d009_lso4,d012_cca,d012_ccl,d012_chco3,d012_ck,d012_cmg,d012_cna,d012_cso4,d012_lca,d012_lcl,d012_lhco3,d012_lk,d012_lmg,d012_lna,d012_lso4,d075_cca,d075_ccl,d075_cco,d075_chco3,d075_ck,d075_cmg,d075_cna,d075_cso4,d075_lca,d075_lcl,d075_lco,d075_lhco3,d075_lk,d075_lmg,d075_lna,d075_lso4,m009_lca,m009_lk,m009_lmg,m009_lna,m009_lso4,m012_lca,m012_lcl,m012_lhco3,m012_lk,m012_lmg,m012_lna,m012_lso4,m075_lca,m075_lcl,m075_lco,m075_lhco3,m075_lk,m075_lmg,m075_lna,m075_lso4,gw_098,gw_124,str_012,str_057,str_072,str_075
0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82641.8,90978.4,147332,35077.7,204064,87231.6,132047,69949.8,127978,142796,67626.2,158912,106302,79003.3,102315,121613,101424,110314,126566,111219,0,0,0,0,0,0
0,150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90351.6,88875.7,177169,113412,39030.2,86223.3,92830.5,68269,162009,225451,36098.7,36592.8,108267,109081,102626,100680,109266,72622.1,53570.7,91079.4,0,0,0,0,0,0
0,150,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126016,93523.7,116936,50688.1,139403,123335,91898.1,115377,170743,46731.4,102813,71634.8,74000.1,56672.1,100581,99992.2,94702.6,91024.9,218924,71761.9,0,0,0,0,0,0
0,150,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85785.5,99486.5,224679,42305.4,59528.8,114298,97121.4,96479.1,99456.9,109493,114359,25824.2,104458,106191,100700,90702.2,100436,103369,156210,120445,0,0,0,0,0,0
0,150,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138743,93605.3,316013,27307.5,42020.1,99006.7,113880,86599.5,91120.1,211889,22749.2,18926.6,94171.8,81714.6,113125,108394,103846,73055.3,46582.1,88768,0,0,0,0,0,0
0,150,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85368.5,109810,405288,55680.4,37609.5,81245.8,192523,136955,74392.2,183319,109801,82991,84088.6,58520.1,103747,70262.8,102947,76070,250928,69232.7,0,0,0,0,0,0
0,150,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64467.8,111778,99425.1,32307.4,90869.7,84632,78959.5,95734.1,75515.4,51830.5,50451.4,64810.1,100250,31241.2,101031,108287,99473.1,109474,506375,105521,0,0,0,0,0,0
0,150,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76435.2,95771.9,210315,13046.1,351163,98535.4,188188,76763.2,144929,126091,33584.9,166429,88816.1,121692,112198,89120.2,96225.9,90494.6,147615,70173.5,0,0,0,0,0,0
0,150,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112346,102442,47115.2,8961.86,86374.1,108498,133581,91705.1,84298.1,51137.3,15254.8,162717,100731,230280,103210,79063.5,99548.5,100073,178092,107481,0,0,0,0,0,0
0,150,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282028,95643.6,28535,79071.2,40045.7,148275,38708.5,69705.3,86407.9,53164.5,81461.9,32576.6,86642.9,88220.1,109169,106131,102022,105352,159929,81066,0,0,0,0,0,0
0,150,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173513,122479,30442.5,28457.6,223418,148166,8937.24,123104,77538.8,35062.6,127585,197046,90147,147631,105170,95168.9,104601,105588,175699,68437.6,0,0,0,0,0,0
0,150,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122286,102450,237274,76125.4,40613.1,125229,47363.4,65816.8,117234,85951,113870,31730.7,97881.5,219876,104004,91880.1,88199.5,82365.9,560034,93543.3,0,0,0,0,0,0
0,150,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169122,97341.8,39421.8,13706.7,105842,135327,49049.9,66231.9,114149,27273.3,20108.9,96280.6,90059,53514.1,118850,111228,85231.3,98018.7,48191.5,87325.3,0,0,0,0,0,0
0,150,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39199.9,100113,54089.9,58774.3,79052.8,85953.4,118096,108059,82260.8,63686.8,122572,88786.3,101779,38118.3,111660,83564.1,107316,88652.3,331724,86376.9,0,0,0,0,0,0
0,150,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187889,116623,180870,213916,101101,133384,180057,124429,82545.1,98833.9,182854,77388.1,96838.1,75087.7,104676,89977,101065,103586,142164,117299,0,0,0,0,0,0
0,150,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86002.5,92513.5,30008.6,3890.93,140406,97872.5,194476,112030,116398,68121.2,40550.3,180089,105206,33103.2,101325,93182.1,93561.7,50595.6,97066.8,88239.9,0,0,0,0,0,0
0,150,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41785.2,105140,68572.2,43409.7,271801,86661.1,87094.9,169863,103102,55513.7,12412.4,131767,76220.2,63945.3,101725,81213.3,88202,98624.1,112061,74781.8,0,0,0,0,0,0
0,150,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152029,110932,91832.1,95442.8,426754,101707,82482.8,120059,102322,95101.3,155712,213357,106464,177777,96594.3,98441.5,83251.8,78420.3,330201,88839,0,0,0,0,0,0
0,150,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90221.3,104948,21864.2,15954.8,50958.1,139824,69949,87513.3,98265.2,9116.1,24731.8,16220.6,99515.5,54084.3,106139,94710.2,94044,105655,49526,135384,0,0,0,0,0,0
